,class,Message
65,spam,valued customer pleased advise following recent review mob awarded bonus prize call
66,ham,today song dedicated day song dedicate send valuable frnds first rply
67,spam,urgent awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt ls aj
68,spam,hear new divorce barbie comes kens stuff
69,ham,plane give month end
70,ham,wah lucky man save money hee
71,ham,finished class
72,ham,hi babe home want something xx
73,ham,kkwhere youhow performed
74,ham,call
75,ham,waiting machan call free
76,ham,cool gentleman treat dignity respect
77,ham,like peoples much shy pa
78,ham,operate ltgt
79,ham,still looking job much tas earn
80,ham,sorry ill call later
81,ham,k call ah
82,ham,ok way home hi hi
83,ham,place man
84,ham,yup next stop
85,ham,call later network urgnt sms
86,ham,real getting yo need tickets one jacket done already used multis
87,ham,yes started send requests make pain came back back bed double coins factory got cash nitros
88,ham,really still tonight babe
89,ham,ela kano il download come wen free
90,ham,yeah dont stand close though youll catch something
91,ham,sorry pain ok meet another night spent late afternoon casualty means done stuffmoro includes time sheets sorry
92,ham,smile pleasure smile pain smile trouble pours like rain smile sum hurts smile becoz someone still loves see smiling
93,spam,please call customer service representative ampm guaranteed cash prize
94,ham,planning buy later check already lido got show e afternoon finish work already
95,spam,free ringtone waiting collected simply text password mix verify get usher britney fml
96,ham,watching telugu moviewat
97,ham,see finish loads loans pay
98,ham,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand prob ham
99,ham,please text anymore nothing else say
100,ham,okay name price long legal wen pick ave x ams xx
101,ham,still looking car buy gone driving test yet
103,ham,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
104,ham,umma life vava umma love lot dear
105,ham,thanks lot wishes birthday thanks making birthday truly memorable
106,ham,aight ill hit get cash
107,ham,would ip address test considering computer minecraft server
108,ham,know grumpy old people mom like better lying always one play jokes
109,ham,worry guess hes busy
110,ham,plural noun research
111,ham,going dinnermsg
112,ham,ok wif cos like try new things scared dun like mah cos said loud
113,spam,gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm
114,ham,wa openin sentence formal anyway fine juz tt eatin much n puttin weighthaha anythin special happened
115,ham,entered cabin pa said happy birthday boss felt special askd lunch lunch invited apartment went
116,spam,winner specially selected receive holiday flights inc speak live operator claim pmin
117,ham,goodo yes must speak friday eggpotato ratio tortilla needed
118,ham,hmmmy uncle informed hes paying school directly pls buy food
119,spam,private account statement shows unredeemed bonus points claim call identifier code expires
120,spam,urgent mobile awarded bonus caller prize final try contact call landline boxwrc ppm
121,ham,new address applespairsall malarky
122,spam,todays voda numbers ending selected receive award match please call quoting claim code standard rates app
123,ham,going sao mu today done
124,ham,predict wat time finish buying
125,ham,good stuff
126,ham,know yetunde sent money yet sent text bother sending involve anything imposed anything first place apologise
127,ham,room
128,ham,hey girl r hope r well del r bak long time c give call sum time lucyxx
129,ham,kkhow much cost
130,ham,home
131,ham,dear call tmorrowpls accomodate
132,ham,first answer question
133,spam,sunshine quiz wkly q win top sony dvd player know country algarve txt ansr sptyrone
134,spam,want get laid tonight want real dogging locations sent direct mob join uks largest dogging network bt txting gravel nt eca pmsgp
135,ham,haf msn yijuehotmailcom
136,ham,call meet
137,ham,check rooms befor activities
138,spam,rcv msgs chat svc free hardcore services text go get nothing must age verify yr network try
139,ham,got c lazy type forgot lect saw pouch like v nice
140,ham,k text way
141,ham,sir waiting mail
142,ham,swt thought nver get tired little things lovable persons cozsomtimes little things occupy biggest part hearts gud ni
143,ham,know pls open back
144,ham,yes see ya dot
145,ham,staff name taking class us
146,spam,freemsg replied text randy sexy female live local love hear netcollex ltd p per message reply stop end
147,ham,ummmawill call check inour life begin qatar pls pray hard
148,ham,ki deleted contact
149,ham,sindu got job birla soft
150,ham,wine flowing nevering
151,ham,yup thk cine better cos need go plaza mah
152,ham,ok typical reply
154,ham,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one
155,ham,aaooooright work
156,ham,leaving house
157,ham,hello love get interview today happy good boy think meare missing
158,spam,customer service annoncement new years delivery waiting please call arrange delivery
159,spam,winner specially selected receive cash holiday flights inc speak live operator claim
160,ham,keep safe need miss already envy everyone sees real life
161,ham,new car house parentsi new job hand
162,ham,love excited day spend make happy
163,spam,pls stop bootydelious f inviting friend reply yes see wwwsmsacubootydelious stop send stop frnd
164,spam,bangbabes order way receive service message download content goto wap bangb tv mobile internetservice menu
165,ham,place points e cultures module already
166,spam,urgent trying contact last weekends draw shows prize guaranteed call claim code valid hrs
167,ham,hi frnd best way avoid missunderstding wit beloved ones
168,ham,great escape fancy bridge needs lager see tomo
169,ham,yes completely formclark also utter waste
170,ham,sir need axis bank account bank address
171,ham,hmmm thk sure got time hop ard ya go free muz call discuss liao
172,ham,time coming later
173,ham,bloody hell cannot believe forgot surname mr ill give clue spanish begins
174,ham,well going finish bath goodfine night
175,ham,let know got money carlos make call
176,ham,still going mall
177,ham,turns friends staying whole show back til ltgt feel free go ahead smoke ltgt worth
178,ham,text reply let know log
179,ham,hi spoke maneesha v wed like know satisfied experience reply toll free yes
180,ham,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend
181,ham,lol trust
182,ham,ok gentleman treat dignity respect
183,ham,guys close
184,ham,going nothing greatbye
185,ham,hello handsome finding job lazy working towards getting back net mummy boytoy miss
186,ham,haha awesome minute
187,spam,please call customer service representative freephone ampm guaranteed cash prize
188,ham,got xmas radio times get
189,ham,jus reached home go bathe first sis using net tell finishes k
190,spam,unique enough find th august wwwareyouuniquecouk
191,ham,sorry joined league people keep touch mean great deal friend times even great personal cost great week
192,ham,hi finally completed course
193,ham,stop however suggest stays someone able give ors every stool
194,ham,hope settled new school year wishin gr day
195,ham,gud mrng dear hav nice day
196,ham,got persons story
197,ham,hamster dead hey tomorrow meet pm orchard mrt
198,ham,hi kate evening hope see tomorrow bit bloody babyjontet txt back xxx
199,ham,found enc ltgt
200,ham,sent ltgt bucks
201,ham,hello darlin finished college txt finish love kate xxx
202,ham,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr ltgt
203,ham,goodmorning sleeping ga
204,ham,call alter ok
205,ham,say like dat dun buy ericsson oso cannot oredi lar
207,ham,aight yo dats straight dogg
208,ham,please give us connection today ltdecimalgt refund bill
209,ham,shoot big loads get ready
210,ham,bruv hope great break rewarding semester
211,ham,home always chat
212,ham,kkgoodstudy well
213,ham,yup noe leh
214,ham,sounds great home
215,ham,finally match heading towards draw prediction
216,ham,tired slept well past nights
217,ham,easy ahsen got selected means good
218,ham,take exam march
219,ham,yeah think use atm register sure anyway help let know sure ready
220,ham,ok prob take time
221,ham,os called ubandu run without installing hard diskyou use os copy important files system give repair shop
223,ham,say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
224,spam,new mobiles must go txt nokia collect todayfrom wwwtcbiz optout gbpmtmsg
225,ham,would really appreciate call need someone talk
226,spam,meet dream partner soon career flyng start find free txt horo followed star sign e g horo aries
227,ham,hey company elama po mudyadhu
228,ham,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
229,ham,dear good morning
230,ham,get gandhipuram walk cross cut road right side ltgt street road turn first right
231,ham,dear going rubber place
232,ham,sorry battery died yeah
233,ham,yeshere tv always available work place
234,spam,text meet someone sexy today find date even flirt join p reply name age eg sam message recdthirtyeight pence
235,ham,printed oh ltgt come upstairs
236,ham,ill little closer like bus stop street
237,ham,youwhen wil reach
238,ham,new theory argument wins situation loses person argue friends kick amp say always correct
239,spam,secret admirer looking make contact ufind rreveal thinks specialcall
240,ham,tomarrow final hearing laptop case cannot
241,ham,pleassssssseeeeee tel v avent done sportsx
242,ham,okay shining meant signing sounds better
243,ham,although told dat baig face watches really like e watch gave cos fr thanx everything dat uve done today touched
244,ham,remember old commercial
245,ham,late said website slippers
246,ham,asked call ok
247,ham,kallis bat nd innings
248,ham,work oh ok goodnight ill fix ready time wake dearly missed good night sleep
249,spam,congratulations awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs wwwldewcomwinppmxage
250,ham,ranjith cal drpd deeraj deepak min hold
251,ham,wen lovable bcums angry wid dnt take seriously coz angry childish n true way showing deep affection care n love kettoda manda nice day da
252,ham,doinghow
253,ham,ups days also shipping company takes wks way usps takes week gets lag may bribe nipost get stuff
254,ham,back let know ready
255,ham,necessarily expect done get back though headin
256,ham,mmm yummy babe nice jolt suzy
257,ham,lover need
258,spam,tried contact reply offer video handset anytime networks mins unlimited text camcorder reply call
259,ham,im parked next mini coming today think
260,ham,yup
261,ham,anyway going shopping cos sis done yet dun disturb liao
262,ham,luton ring around h
263,spam,hey really horny want chat see naked text hot text charged pm unsubscribe text stop
264,ham,dint come us
265,ham,wana plan trip sometme
266,ham,sure yet still trying get hold
267,spam,ringtone service changed free credits go clubmobilescom choose content stop txt club stop pwk club po box mk wt
268,ham,evo download flash jealous
269,spam,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge
270,ham,come mu sorting narcotics situation
271,ham,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay
272,spam,hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv infowwwpercentrealcom
273,ham,usf guess might well take car
274,ham,objection bf coming
275,ham,thanx
276,ham,tell rob mack gf theater
277,ham,awesome ill see bit
278,ham,sent type food like
279,ham,done handed celebrations full swing yet
280,ham,got called tool
281,ham,wen miss someone
282,ham,ok asked money far
283,ham,okie
284,ham,yeah think usual guys still passed last night get ahold anybody let know ill throw
285,ham,k might come tonight class let us early
286,ham,ok
287,ham,hi baby cruisin girl friend r give call hour home alright fone fone love jenny xxx
288,ham,life means lot love life love people life world calls friends call world ge
289,ham,dear shall mail tonitebusy street shall update tonitethings looking okvarunnathu edukkukayee raksha ollubut good one real sense
290,ham,hey told name gautham ah
291,ham,haf found feel stupid da v cam working
292,ham,oops got bit
293,ham,much buzy
294,ham,accidentally deleted message resend please
295,spam,tmobile customer may claim free camera phone upgrade pay go sim card loyalty call offer ends thfebtcs apply
296,ham,unless situation go gurl would appropriate
297,ham,hurt tease make cry end life die plz keep one rose grave say stupid miss nice day bslvyl
298,ham,cannot pick phone right pls send message
299,ham,need coffee run tomocant believe time week already
300,ham,awesome remember last time got somebody high first time diesel v
301,ham,shit really shocking scary cannot imagine second def night think somewhere could crash night save taxi
302,ham,oh way food fridge want go meal tonight
303,ham,womdarfull actor
304,spam,sms ac blind date rodds aberdeen united kingdom check mg sms acwicmbcktzr blind dates send hide
305,ham,yup remb think book
306,ham,jos ask wana meet
307,ham,lol yes friendship hanging thread buy stuff
308,spam,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap
309,ham,garage keys bookshelf
310,ham,today accept dayu accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
311,spam,think smart win week weekly quiz text play nowtcs winnersclub po box uz gbpweek
312,ham,says hell give call friends got money hes definitely buying end week
313,ham,hi way day normal waythis real uniquei hope know rest mylife hope find wot lost
314,ham,made day great day
315,ham,kkadvance happy pongal
316,ham,hmmm guess go kb n power yoga haha know tahan power yoga anot thk got lo oso forgot liao
317,ham,really dude friends afraid
318,spam,december mobile mths entitled update latest colour camera mobile free call mobile update co free
319,ham,coffee cake guess
320,ham,merry christmas babe love ya kisses
321,ham,hey go watch x men lunch haha
322,ham,cud tell people gona b bit l cos buses hav gon past cos full still waitin pete x
323,ham,would great well guild could meet bristol road somewhere get touch weekend plans take flight good week
324,ham,problem
326,ham,hi dahow todays class
327,ham,id say good sign well know track record reading women
328,ham,cool text parked
329,ham,reading text sent meant joke read light
330,ham,kkapo kgood movie
331,ham,maybe could get book tomo return immediately something
332,spam,call germany pence per minute call fixed line via access number prepayment direct access
333,ham,chance might evaporated soon violated privacy stealing phone number employers paperwork cool please contact report supervisor
334,spam,valentines day special win quiz take partner trip lifetime send go pmsg rcvd custcare
335,ham,tadaaaaa home babe still
336,ham,cool come wined dined
337,ham,sleepingand surfing
339,ham,calling right call hand phone
340,ham,ok great thanx lot
341,ham,take post come must texts happy reading one wiv hello caroline end favourite bless
342,ham,hiding stranger
343,ham,interested like
344,ham,sister cleared two round birla soft yesterday
345,ham,gudnitetcpractice going
346,ham,dis yijue jus saw mail case huiming sent num dis num
347,ham,one small prestige problem
348,spam,fancy shag dointerested sextextukcom txt xxuk suzy txts cost per message tncs website x
349,ham,checking really miss seeing jeremiah great month
350,ham,nah cannot help never iphone
351,ham,car hour half going apeshit
352,ham,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz fault basically good
353,ham,yo guys ever figure much need alcohol jay trying figure much safely spend weed
354,ham,ltgt ish minutes minutes ago wtf
355,ham,thank callingforgot say happy onam sirjii fine remembered met insurance personmeet qatar insha allahrakhesh ex tata aig joined tissco tayseer
357,spam,cashbalance currently pounds maximize cashin send cash pmsg cc hgsuitelands rowwjhl
358,ham,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday
359,ham,hello got st andrewsboy long way cold keep posted
360,ham,ha ha cool cool chikku chikkudb
361,ham,oh ok prob
362,ham,check audreys status right
363,ham,busy trying finish new year looking forward finally meeting
364,ham,good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always
365,ham,well know z take care worries
366,spam,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt orange call mobileupd calloptoutfq
367,spam,discount code rp stop messages reply stop wwwregalportfoliocouk customer services
368,ham,wat uniform get
369,ham,cool text ready
370,ham,hello boytoy geeee miss already woke wish bed cuddling love
371,ham,spoil bed well
372,ham,going bath message next ltgt min
373,ham,cannot keep talking people sure pay agree price pls tell want really buy much willing pay
374,spam,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer services
375,ham,say happen
376,ham,could seen mei didt recognise face
377,ham,well lot things happening lindsay new years sighs bars ptbo blue heron something going
378,ham,keep payasam rinu brings
379,ham,taught ranjith sir called sms like becaus hes verifying project prabu told today pa mistake
380,ham,guess worried must know way body repairs quite sure worry well take slow first tests guide ovulation relax nothing said reason worry ill keep followin
381,ham,yeah sure give couple minutes track wallet
382,ham,hey leave big deal take care
383,ham,hey late ah meet
384,spam,double mins txts months free bluetooth orange available sony nokia motorola phones call mobileupd calloptoutndx
385,ham,took mr owl licks
386,ham,customer place call
387,ham,mm time like fun
388,spam,mths half price orange line rental latest camera phones free phone mths call mobilesdirect free update orstoptxt
389,ham,yup lunch buffet eat already
390,ham,huh late fr dinner
391,ham,hey sat going intro pilates kickboxing
392,ham,morning ok
393,ham,yes think office lap room think last days shut
394,ham,pick bout ish time going
395,ham,performance award calculated every two monthnot current one month period
396,ham,actually sleeping still might call back text gr rock sis send text wen wake
397,ham,always putting business put pictures ass facebook one open people ever met would think picture room would hurt make feel violated
398,ham,good evening sir al salam wahleykkumsharing happy newsby grace god got offer tayseer tissco joinedhope fineinshah allah meet sometimerakhesh visitor india
399,ham,hmmmkbut want change field quickly dai want get system administrator network administrator
400,spam,free ringtone text first poly text get true tone help st free tones xpw end txt stop
401,ham,dear chechi talk
402,ham,hair cream shipped
403,ham,none happening til get though
404,ham,yep great loxahatchee xmas tree burning ltgt starts hour
405,ham,haha get used driving usf man know lot stoners
406,ham,well slightly disastrous class pm fav darlings hope day ok coffee wld good cannot stay late tomorrow time place always
407,ham,hello good week fancy drink something later
408,ham,headin towards busetop
409,ham,messagesome text missing sendername missing number missing sentdate missing missing lot everything missing sent via fullonsmscom
410,ham,come room point iron plan weekend
411,ham,cos want thing
412,ham,okies ill go yan jiu skip ard oso go cine den go mrt one blah blah blah
413,ham,bring home wendy
414,spam,dating service call boxskch
415,ham,whatsup want sleep
416,ham,alright new goal
417,spam,free entry weekly competition text word win tc wwwtxttowincouk
418,ham,alright ill head minutes text meet
419,spam,send logo lover names joined heart txt love name name mobno eg love adam eve yahoo poboxwwq txtno ads p
420,ham,yesfrom last week taking live call
421,spam,someone contacted dating service entered phone fancy find call landline poboxntfp
422,ham,siva hostel aha
423,spam,urgent mobile number awarded prize guaranteed call land line claim valid hrs
424,ham,send friends receive something voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny ltgt irritating ltgt lovable reply
425,ham,ok ok guess
426,ham,aathiwhere dear
427,ham,pain urination thing else
428,ham,esplanade mind giving lift cos got car today
429,ham,wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob
430,ham,home watching tv lor
431,ham,usually take fifteen fucking minutes respond yes question
432,spam,congrats nokia video camera phone call calls cost ppm ave call mins vary mobiles close post bcm ldn wcnxx
433,ham,booked ticket pongal
434,ham,available like right around hillsborough amp ltgt th
435,ham,message sent askin ltgt dollars shoul pay ltgt ltgt
436,ham,ask g iouri told story like ten times already
437,ham,long applebees fucking take
438,ham,hi hope get txtjourney gd mins late think
439,ham,like love arrange
440,ham,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get
441,ham,supposed wake
442,ham,oic saw tot din c found group liao
444,ham,hey hey werethe monkeespeople say monkeyaround gorgeous
445,ham,sorry battery died come getting gram place
446,ham,well done blimey exercise yeah kind remember wot hmm
447,ham,get concentration dear know mind everything
448,ham,lol made plans new years
449,ham,min later k
450,ham,hanks lotsly
451,ham,thanks hope good day today
452,ham,kkwhat detail want transferacc enough
453,ham,ok tell stay yeah tough optimistic things improve month
454,spam,loan purpose homeowners tenants welcome previously refused still help call free text back help
455,ham,si si think ill go make oreo truffles
456,ham,look amy ure beautiful intelligent woman like lot know dont like like dont worry
457,ham,hope result consistently intelligent kind start asking practicum links keep ears open best ttyl
458,ham,call cost guess bad miss ya need ya want ya love ya
459,ham,going thru different feelingwavering decisions coping individualtime heal everything believe
460,ham,go phone going die stay
461,ham,great never better day gives even reasons thank god
462,spam,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer ends th july tcs apply optout available
463,ham,sorry ill call later ok bye
464,ham,ok way railway
465,ham,great princess love giving receiving oral doggy style fave position enjoy making love ltgt times per night
466,ham,put stuff roads keep getting slippery
467,ham,going ride bike
468,ham,yup need ill jus wait e rain stop
469,ham,many company tell language
470,spam,okmail dear dave final notice collect tenerife holiday cash award call landline tcs sae box cwwx ppm
471,ham,long since screamed princess
472,ham,nothing meant money enters account bank remove flat rate someone transfered ltgt account ltgt dollars got removed banks differ charges also differbe sure trust ja person sending account details cos
473,spam,want get laid tonight want real dogging locations sent direct mob join uks largest dogging network txting moan nyt eca pmsgp
474,ham,nice line said broken heart plz cum times infront wise trust good
475,ham,ok going head usf like fifteen minutes
476,ham,love aathilove lot
477,ham,tension ahwhat machiany problem
478,ham,k pick another th done
479,ham,whenre guys getting back g said thinking staying mcr
480,ham,almost see sec
481,ham,yo carlos friends already asking working weekend
482,ham,watching tv lor
483,ham,thank baby cannot wait taste real thing
484,ham,change fb jaykwon thuglyfe falconerf
485,ham,win really side long time
486,spam,free message activate free text messages replying message word free terms conditions visit wwwcom
487,ham,dear reached railway happen
488,ham,depends quality want type sent boye faded glory want ralphs maybe
489,ham,think fixed send test message
490,ham,sorry man accounts dry would want could trade back half could buy shit credit card
492,ham,sorry meeting ill call later
493,ham,class ltgt reunion
494,ham,free nowcan call
495,ham,got meh
496,ham,nope think go monday sorry replied late
497,ham,told accenture confirm true
498,ham,kate jackson rec center ish right
499,ham,dear reache room
500,ham,fighting world easy either win lose bt fightng close dificult lose lose win still lose
501,ham,come
502,ham,check nuerologist
503,ham,lolnice went fish water
504,spam,congratulations weeks competition draw prize claim call b tcsstop sms ppm
505,ham,waiting e car dats bored wat cos wait outside got nothing home stuff watch tv wat
506,ham,maybe westshore hyde park village place near house
507,ham,know anthony bringing money school fees pay rent stuff like need help friend need
508,ham,significance
509,ham,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
510,ham,latest gs still scrounge ammo want give new ak try
511,ham,prabhaim sorydarealyfrm heart sory
512,ham,lol ok forgiven
513,ham,nojst change tat
514,spam,guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnwh pmtmsgrcvd
515,ham,sno competition
516,spam,boltblue tones p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tones txt
517,spam,credits topped wwbubbletextcom renewal pin tgxxrz
518,ham,way transport less problematic sat night way want ask n join birthday feel free need know definite nos booking fri
519,ham,usually person unconscious children adults may behave abnormally ill call
520,ham,ebay might less elsewhere
521,ham,shall come get pickle
522,ham,going go get tacos
523,ham,rude campus
524,spam,urgent mobile awarded bonus caller prize nd attempt contact call boxqu
525,ham,hi b ard christmas enjoy n merry xmas
526,spam,todays offer claim worth discount vouchers text yes savamob member offers mobile cs sub unsub reply x
527,ham,yes pretty lady like single
528,spam,recieve tone within next hrs terms conditions please see channel teletext pg
529,ham,jay says doublefaggot
530,spam,private account statement shows unredeemed sim points call identifier code expires
531,ham,todaysundaysunday holidayso work
533,ham,ill late
534,ham,called hoping lr malaria know miss guys miss bani big pls give love especially great day
535,ham,good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea
536,ham,probably going see later tonight
537,ham,maybe fat fingers press buttons know
538,ham,ummmmmaah many many happy returns day dear sweet heart happy birthday dear
539,ham,tirupur da started office call
540,spam,wwwapplausestorecom monthlysubscriptionpmsg maxmonth tcsc web age stop txt stop
541,ham,famous quote develop ability listen anything unconditionally without losing temper self confidence means married
542,ham,going college pa else ill come self pa
543,ham,clock mine bash flat plan
544,ham,girl stay bed girl need recovery time id rather pass fun cooped bed
545,ham,special
546,ham,know need get hotel got invitation apologise cali sweet come english blokes weddin
547,ham,sorry took long omw
548,ham,wait ltgt min
549,ham,ok give minutes think see way alibi cutting hair whole time
550,ham,imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
551,ham,hurry weeddeficient like three days
552,ham,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
553,ham,ok every night take warm bath drink cup milk see work magic still need loose weight know
554,ham,ill look frying pan case cheap book perhaps thats silly frying pan isnt likely book
555,ham,well uv causes mutations sunscreen like essential thesedays
556,ham,lunchyou onlinewhy
557,ham,know friend already told
558,ham,hi princess thank pics pretty
559,ham,aiyo always c ex one know mei reply first time reply fast lucky workin huh got bao sugardad ahgee
560,ham,hi message meim office
561,ham,thanx e brownie v nice
562,ham,geeeee love much barely stand
564,ham,fuck babe miss already know cannot let send money towards net need want crave
565,ham,ill call mrw ninish address icky american freek stop callin bad jen k eh
566,ham,oooh bed ridden ey thinking
567,ham,anyways go gym whatever love smiles hope ok good day babe miss much already
568,ham,love daddy make scream pleasure going slap ass dick
569,ham,wot want missy
570,ham,yar lor wait mum finish sch lunch lor whole morning stay home clean room room quite clean hee
571,ham,know lab goggles went
572,ham,open door
573,ham,waiting call
574,ham,nope waiting sch daddy
575,spam,cash prize claim call
576,ham,tired arguing week week want ill
577,ham,wait sch finish ard
578,spam,mobile number claim calls us back ring claims hot line
579,ham,arngd marriage r walkin unfortuntly snake bites bt love marriage dancing frnt snake amp sayin bite bite
580,ham,huh early dinner outside izzit
581,ham,ok anyway need change said
582,spam,tried contact reply offer mins textand new video phone call reply free delivery tomorrow
583,ham,exwife able kids want kids one day
584,ham,scotland hope showing jjc tendencies take care live dream
585,ham,tell headache want use hour sick time
586,ham,dun thk ill quit yet hmmm go jazz yogasana oso go meet lessons den
587,ham,pete please ring meive hardly gotany credit
588,ham,ya srsly better yi though
589,ham,meeting call later
590,spam,chance win wkly shopping spree txt shop tscs wwwtxtshopcom custcare xpwk
591,spam,specially selected receive pound award call lines close cost ppm tcs apply ag promo
592,spam,private account statement shows unredeemed points call identifier code expires
593,ham,still grand prix
594,ham,met stranger choose friend long world stands friendship never ends let us friends forever gud nitz
595,ham,great
596,ham,gud mrng dear nice day
597,spam,important customer service announcement call freephone
598,ham,exhausted train morning much wine pie sleep well
599,ham,going buy mums present ar
600,ham,mind blastin tsunamis occur rajnikant stopped swimming indian oceand
601,ham,sending home first ok lor ready yet
602,ham,speaking cash yet
603,ham,happy come noon
604,ham,meet lunch la
605,ham,take care n get well soon
606,spam,xclusiveclubsaisai morow soiree speciale zouk nichols parisfree roses ladies info
607,ham,meant say cannot wait see getting bored bridgwater banter
608,ham,neva mind ok
609,ham,fine going get drink somethin want come find
610,spam,days kick euro kept date latest news results daily removed send get txt stop
611,ham,valentine game send dis message friends answers r someone really loves ques colour suits bestrply
612,ham,many dependents
613,ham,thanx today cer nice catch ave find time often oh well take care c soonc
614,ham,called said himthen choose future
